name,url,description,stars,forks,language,created_at,last_update
"run-llama/llama_index", "https://github.com/run-llama/llama_index", "إطار بيانات لتطبيقات LLM الخاصة بك.", 75321, 8456, "Python", "2025-01-15T10:00:00Z", "2025-09-18T14:30:00Z"
"microsoft/autogen", "https://github.com/microsoft/autogen", "تمكين تطبيقات LLM من الجيل التالي باستخدام إطار محادثة متعدد الوكلاء.", 68912, 7123, "Python", "2025-02-01T11:20:00Z", "2025-09-17T18:00:00Z"
"facebookresearch/llama", "https://github.com/facebookresearch/llama", "كود الاستدلال لنماذج LLaMA", 65432, 9876, "Python", "2025-02-10T20:00:00Z", "2025-09-15T12:00:00Z"
"jmorganca/ollama", "https://github.com/jmorganca/ollama", "ابدأ العمل مع Llama 2 و Mistral ونماذج اللغة الكبيرة الأخرى محليًا.", 62109, 5432, "Go", "2025-03-05T15:00:00Z", "2025-09-18T10:00:00Z"
"huggingface/transformers", "https://github.com/huggingface/transformers", "أحدث ما توصل إليه تعلم الآلة لـ Pytorch و TensorFlow و JAX.", 125432, 24876, "Python", "2025-01-20T09:00:00Z", "2025-09-18T11:45:00Z"
"AUTOMATIC1111/stable-diffusion-webui", "https://github.com/AUTOMATIC1111/stable-diffusion-webui", "واجهة ويب لـ Stable Diffusion", 119876, 23456, "Python", "2025-03-12T18:30:00Z", "2025-09-16T22:10:00Z"
"langchain-ai/langchain", "https://github.com/langchain-ai/langchain", "بناء تطبيقات باستخدام نماذج LLM من خلال القابلية للتركيب", 85432, 12345, "Python", "2025-01-28T14:00:00Z", "2025-09-18T09:15:00Z"
"openai/whisper", "https://github.com/openai/whisper", "تعرف قوي على الكلام عبر الإشراف الضعيف واسع النطاق", 63210, 6789, "Python", "2025-04-01T12:00:00Z", "2025-09-14T16:00:00Z"
"ggerganov/llama.cpp", "https://github.com/ggerganov/llama.cpp", "منفذ نموذج LLaMA الخاص بـ Facebook بلغة C++", 59876, 8765, "C++", "2025-03-20T22:00:00Z", "2025-09-18T05:30:00Z"
"modelscope/facechain", "https://github.com/modelscope/facechain", "إطار عمل لتوليد صور شخصية باستخدام التعلم العميق.", 55432, 4321, "Python", "2025-05-10T10:10:00Z", "2025-09-12T11:00:00Z"
"OpenBMB/AgentVerse", "https://github.com/OpenBMB/AgentVerse", "إطار عمل مرن يبسط عملية بناء بيئات مخصصة متعددة الوكلاء لنماذج LLMs.", 48765, 3456, "Python", "2025-06-01T08:00:00Z", "2025-09-10T14:20:00Z"
"dortania/OpenCore-Legacy-Patcher", "https://github.com/dortania/OpenCore-Legacy-Patcher", "استمتع بتجربة macOS كما كانت من قبل", 45678, 5678, "Python", "2025-02-18T19:00:00Z", "2025-09-18T13:00:00Z"
"lllyasviel/Fooocus", "https://github.com/lllyasviel/Fooocus", "ركز على المطالبة والتوليد", 43210, 2109, "Python", "2025-07-15T16:00:00Z", "2025-09-17T20:00:00Z"
"TheAlgorithms/Python", "https://github.com/TheAlgorithms/Python", "جميع الخوارزميات المطبقة في Python", 185432, 45678, "Python", "2025-01-10T05:00:00Z", "2025-09-18T15:00:00Z"
"Lissy93/web-check", "https://github.com/Lissy93/web-check", "أداة OSINT شاملة لتحليل أي موقع ويب", 39876, 1234, "Vue", "2025-08-01T11:00:00Z", "2025-09-16T10:00:00Z"
"s0md3v/roop", "https://github.com/s0md3v/roop", "تبديل عميق للوجه بنقرة واحدة", 37654, 5432, "Python", "2025-04-22T21:00:00Z", "2025-09-09T08:00:00Z"
"daveshap/Auto-GPT-WorkSpace", "https://github.com/daveshap/Auto-GPT-WorkSpace", "مساحة عمل لتطوير الوكلاء باستخدام Auto-GPT", 35432, 4321, "Python", "2025-05-15T13:00:00Z", "2025-08-30T19:00:00Z"
"InternLM/InternLM", "https://github.com/InternLM/InternLM", "إطار شامل للتدريب المسبق،"
